Customer ID,Customer Name,VAT,Country,Total Amount (DKK)
d0c3b47d-057b-43c8-ab7b-29cc5552f5f7,Fredericia Spildevand og Energi A/S,32659365,DK,1388.84
86fb6c93-0a82-4efd-afa8-5ba0c28517d7,New Power Partners,36953853,DK,2514.6340000000005
7cdea68f-09bd-4ff6-8c2d-af405e646412,Vetgruppen Hørsholm Hestepraksis ApS,19750086,DK,1159.92
ccfc64e3-d70e-4d52-bd06-bd683cb9c019,Ferrum A/S,29175489,DK,406.03999999999996
2af8f49a-89c9-43e3-96fd-e5e8175e3aae,PR OFFSET ApS,26617405,DK,5584.73
c2de120f-7a84-47b4-ab2c-0b4f39628cd0,SILKEBORG DYREHOSPITAL I/S,16651133,DK,6273.219999999999
7965ee93-83ef-4208-8bc7-ae12b11fc125,Diakovasilis,,DK,81.95
9c4c3d8e-2976-449a-9dbf-39e7d3a3f7e6,Dit Kontor,33023502,DK,73.75
f2de505f-2453-4983-bd66-c25df1d61f76,Trekantområdets bogføringsservice,34317771,DK,144.39
ef039cbe-4cf9-4f05-98c3-334904cf1f76,Dansk Elberegning ApS,30693787,DK,46.9
daab51c2-e343-48ea-bb9a-26f18be7d3b0,JR Maskincenter,12164033,DK,175.82999999999998
06d6f4ea-a75a-4596-94a7-912468e1ac43,Vejen Varmeværk,57301414,DK,616.81
9085881a-a7fc-4a9e-b242-f2ce259c0994,Collamat AG,CHE108697132,CH,704.5699999999999
8d257cf4-27d7-4607-9a50-78951533d821,Gh WooD,35738789,DK,68.49000000000001
9e9c7be1-1b01-474f-871a-fa3751923b46,EMPET AS,916 720 823,NO,120110.17
a9a59591-a323-4ba8-be49-23ee8289acac,vet-webinar GmbH,78393409,AT,3023.44
32eff778-ee16-40ad-8597-302197099202,CP Nordic,43087517,DK,1798.8700000000001
0f50fe33-d7dc-4802-b95f-90215ab27b44,Navigate Public Affairs Aps.,40190856,DK,5590.099999999999
d6a78663-a9c0-4b0a-a97b-a7185407235f,Egnens Malerfirma ApS,,DK,705.48
a001fc5f-6d9c-4b4e-a43b-e38db768cda0,Svend Erik Larsen & Søn A/S,20047739,DK,2554.4600000000005
b3382aef-cff6-4952-9462-baf59286c8e4,Gade Consult,32318002,DK,139.54
41f2c4cf-9e9c-408b-899e-e21dbe5bb69f,Svenskavet,55934541,SE,56856.10499999999
9f279149-142f-46fc-909f-4798619d5d08,Otterup Dyreklinik I/S,47289319,DK,580.3199999999999
